Title,Date,Medium,Artist ID
Armchair,1952.0,"Chrome-plated steel wire, chrome-plated steel rods, and Naugahyde",531.0
La Luz II Tapestry,1958.0,"Cotton, linen, and metal thread",96.0
Stacking Side Chairs,1929.0,Solid and laminated birch,34.0
Expert Model Surfboard,1958.0,"Balsa, fiberglass, and redwood",128.0
Cantilevered Armchair (model 406),1970.0,Laminated birch and rattan,34.0
Man's Bracelet Watch,1969.0,Stainless steel,862.0
Silver Loop-Handled Dish,1901.0,Silver and lapis lazuli,23.0
Scissors,1960.0,Plastic and stainless steel,271.0
Ribbon Chair,1975.0,"Tubular steel, cotton canvas, and polyester fill",467.0
Desk Lamp,1927.0,"Nickel-plated brass, aluminum, and lacquered wood",865.0
Anfibio Convertible Couch,1971.0,Leather-covered polyurethane,421.0
Solar Lounge Chair,1967.0,Fiberglass and polyester resin with lacquer finish,359.0
Vase,1960.0,Crystal,478.0
Glasses,1900.0,Glass and gold,438.0
Bowl,1943.0,Glazed earthenware,178.0
Wall Clock (model 32/0389),1957.0,Chrome-plated and painted metal,559.0
Glasses Model No. 20/200,1966.0,Glass,390.0
Table with Wheels (model 2652),1980.0,"Glass, metal and rubber",241.0
Robot Amplified Rotating Antenna,1981.0,ABS polymer casing,451.0
Side Chair (model B5),1926.0,Chrome-plated tubular steel and Eisengarn,769.0
Photographs,,Photographs,769.0
Design for Bedspread,1928.0,Watercolor and pencil on paper,96.0
Quattro Quarti Furniture Units,1969.0,ABS polymer,659.0
Design for Tablecloth,1930.0,Gouache on paper,96.0
Design for Tapestry,1933.0,Watercolor and pencil on paper,96.0
Upholstery Material,1923.0,"Wool, rayon, and cotton",96.0
Upholstery Material,1929.0,Linen and cotton,96.0
Tumbler,1932.0,Pressed glass,35.0
Evening-Coat Material,1946.0,"Linen, cotton, and Lurex",96.0
TCV 250 Video Display Terminal,1966.0,Sheet steel and vacuum-cast ABS plastic,451.0
Spaghetti Side Chair,1960.0,Steel and PVC plastic,457.0
Spaghetti Stool,1980.0,Steel frame and PVC winding,457.0
Italicus Poultry Shears (model 397),1960.0,Hot-drop forged and mirror-polished stainless steel,941.0
Programma 101 Electronic Desktop Computer,1965.0,Die-cast aluminum casing,451.0
Logos 50/60 Electronic Printing Calculator,1972.0,Die-cast aluminum casing and ABS polymer,451.0
Drapery Material,,Cotton and silk,96.0
Drapery Material,1944.0,Cotton,96.0
Area Hanging Lamp,1974.0,"Non-woven polyester, porcelain, lacquered metal, and cast-iron",451.0
Lettera 10 Portable Typewriter,1976.0,Cast-injected ABS polymer casing,451.0
Drapery Material,1941.0,Cotton,96.0
Grip Assistant,1982.0,Plastic,26.0
Drapery Material,1943.0,"Lurex, plastic thread, and cotton chenille",96.0
Buttoner,1980.0,Plastic and metal,26.0
Speed Skiing Helmet,1985.0,"Fiberglass, hand-laminated polyester resin, acryllic lacquer, high-density impact foam, velour, and polycarbonate filter",536.0
Yellow Abakan,1967.0,Sisal,38.0
Room-Dividing Curtain Material for Harvard Graduate Center Dormitory,1950.0,Cotton and jute,96.0
Design for Smyrna Rug,1925.0,"Watercolor, gouache, and graphite on paper",96.0
Boomerang Lounge Chair,1968.0,"Polyurethane, chrome-plated plastic, and fabric",659.0
Design for Wall Hanging,1926.0,Gouache and pencil on paper,96.0
Fil de Crin (Horsehair yarn),1985.0,Horsehair,605.0
Fil de Crin (Horsehair yarn),1986.0,Horsehair,605.0
Side Chair,1928.0,Stained wood,846.0
Woven Fabric Sample,1951.0,Jute and gold metallic thread,96.0
Fabric Sample,1959.0,Linen,96.0
Casement Material,1960.0,Fiberglass,96.0
Fabric Sample,1940.0,Rayon,96.0
Display Material,1947.0,"Paper, cotton, and foil",96.0
Pop Automatic Record Player (model GA 45),1968.0,ABS plastic and metal,451.0
Vase,1945.0,Blown glass,547.0
Kitchen Storage Pot,1923.0,Slip-cast earthenware with metallic glaze,636.0
Sun Lamp,1951.0,Enameled metal,559.0
Three-Piece Table Lamp,1950.0,"Metal, brass, paper, and foil",881.0
Cigarette Box,1954.0,Brass and glass,906.0
Knife,1980.0,Stainless steel,478.0
Couch,1930.0,"Tubular steel, flat chrome-plated steel bars, and upholstered cushions",769.0
Armchair (model ti 244),1929.0,"Laminated beech wood, tubular steel and canvas upholstery",97.0
Sfericlock Alarm Clock,1963.0,Plastic casing,659.0
Marco Vase,1961.0,Blown glass,30.0
Wall Hanging: Entrance II,1964.0,Wool,579.0
Bottle Opener,1980.0,18/8 Stainless steel with brushed satin finish,126.0
Flatware,1946.0,Stainless steel,15.0
Glasses,1948.0,Glass,975.0
Cocktail Shaker,1959.0,Chrome-plated metal,238.0
Ashtray,1958.0,Painted metal and brushed chromed metal,238.0
Vases,1957.0,Porcelain,432.0
Mechanic's Angle Flashlight with Illuminated Screwdriver Attachment,1952.0,Metal and lucite,105.0
Vase,1900.0,Glass,293.0
Paimio Lounge Chair (model 41),1931.0,Laminated birch and lacquered molded plywood,34.0
Dish Manufacturer's No. D3-1186,1942.0,Copper,418.0
Cantilever Desk Lamp (model 41555 mark 2),1961.0,Aluminum and steel,50.0
Armchair,1964.0,Poured polyurethane,159.0
BYO Insulated Wine Chiller,1978.0,"Molded ABS polymer, polyethylene, and polypropylene",976.0
Chaise Longue,1935.0,Laminated birch and upholstered cushion,769.0
Fruit Juicer and Pitcher,1959.0,Propen plastic,759.0
Anatomy of a Murder,1959.0,Offset lithograph,372.0
Olivetti,1959.0,Offset lithograph,399.0
"The Chap-Book, Thanksgiving No.",1895.0,Zincograph,732.0
Whiting Paper Company,1896.0,Poster,732.0
"Bradley, His Book",,Poster,732.0
"Exposition, Galerie Maeght",1959.0,Lithograph in six colors,744.0
Olympische Spiele München 1972,1972.0,Screenprint,215.0
380 Posters of the French National Railroad,1900.0,,101.0
The Ultimate Goal,1949.0,Gouache on paperboard,977.0
Noh Performance at UCLA,1981.0,Offset lithograph,254.0
Ninth Contemporary Japanese Sculpture Exhibition,1982.0,Offset lithograph,254.0
Strijbosch '59,1959.0,Lithograph,747.0
Art Today in Kyoto,1983.0,Offset lithograph,254.0
Cords,1912.0,Lithograph,515.0
"Das ist der Weg zum Frieden-, die Feinde wollen esfo!, Darum zeichne, Kriegsanleine!",1917.0,Lithograph,515.0
Le Trou,1959.0,Photolithograph,709.0
"Telegraph Less, Telephone Less",,Poster,491.0
A Careless Word - Another Cross,1943.0,Offset lithograph,230.0
"Libertad de Cultos, Libertad de Palabra, Libres de Miseria, Libres de Timor",1942.0,Photolithograph,399.0
Cross Out Slums,1941.0,Lithograph,409.0
"Libertad de Palabra, Una de las Cuatro Libertades por las que Luchan los Aliados",1942.0,Lithograph,788.0
America's Answer - Production,1942.0,Offset lithograph,977.0
He Bites Hard But These Bite Harder,1943.0,Lithograph,185.0
Wipe Out Discrimination,1949.0,Offset lithograph,54.0
Acapulco Gold,1967.0,Screenprint,18.0
Architektur Lichtbilder Vortrag Professor Hans Poelzig,1926.0,Letterpress,399.0
"Avenue Theater, A Comedy of Sighs!",1894.0,Lithograph and letterpress,413.0
Helpt China's Kinderen,,Photolithograph,835.0
The American Dream,1967.0,Silkscreen,541.0
"Negerkunst, Prähistorische Felsbilder Sudafrikas",1931.0,Linocut and letterpress,559.0
Schubertfeier der Staedtischen Buehnen Essen,1928.0,Photolithograph,869.0
Buy a Share in America,1941.0,Lithograph,230.0
Give 'em Both Barrels,1941.0,Offset lithograph,977.0
For Your Boy - United War Work Campaign,1918.0,Lithograph,804.0
At the Oval,1933.0,Lithograph,985.0
Pvt. Treptow's Pledge,1914.0,Poster,307.0
Aronson,1951.0,Silkscreen,9.0
Deutscher Künstler Bund Erste Ausstellung,1951.0,Offset lithograph,392.0
The World of Silk,1951.0,Lithograph,502.0
"Exposition des Pastels de E. Mürer., Nov. 23 - Dec. 13",1895.0,Lithograph,176.0
Futurism and Surrealism,1900.0,Poster,559.0
"Exposition J. Baric, December 18, 1897 - January 20, 1898",1897.0,Poster,331.0
"Salon des Cent, 17e Exposition",1897.0,Lithograph,528.0
"Signal Clearly, Learn the Highway Code",1935.0,Lithograph,164.0
On Four Walls,1897.0,,744.0
"Salon de la Plume - Exposition Henri Bouillon, May 3-30, 1897",1897.0,Poster,702.0
Bonjour Tristesse,1957.0,Offset lithograph,372.0
"Galerie Maeght, G. Braque",1950.0,Lithograph in seven colors,744.0
"Salon des Cent, 31, rue Bonaparte, Hall de la Revue, La Plume, Mars-Avril 1899, Exposition d'Ensemble",1899.0,Lithograph,703.0
2nd New York Film Festival Sept. 14-26 1964-Philharmonic Hall Lincoln Center,1964.0,Lithograph,372.0
Salon des Cent - 42e exposition,1899.0,Photogravure and pochoir,717.0
Evacuad Madrid,1936.0,Lithograph,946.0
For the Oval,1936.0,Poster,985.0
Shell,1900.0,Poster,89.0
John Lennon,1967.0,Offset lithograph,248.0
(Untitled),1900.0,Poster,164.0
"""Kassama"" Corn Flour",1894.0,Lithograph,437.0
Keep 'Em Smiling!,1918.0,Lithograph,728.0
Martini,1926.0,Linocut,788.0
Obsession and Fantasy,1962.0,Offset lithograph,816.0
Sie Trögt Konrä,1900.0,Poster,827.0
Hampton Court (Poster for London Transport),1934.0,Lithograph,121.0
April Time Tables,1936.0,Lithograph,415.0
"Special Show of Roses, Regent's Park, Queen Mary's Garden (Poster for London Transport)",1935.0,Lithograph,380.0
A.E.G.- Metallfadenlampe (A.E.G. - Metal Filament lamps),1907.0,Lithograph,438.0
Kunst der Werbung,1931.0,Offset lithograph,869.0
"Liberté, liberté chérie!",1944.0,Poster,978.0
Concert for Edith Wol,1900.0,,399.0
The Zoo (Poster for London Transport),1935.0,Lithograph,775.0
"Alcopley, Galerie Bing",1956.0,Silkscreen,104.0
Levi's,1972.0,Offset lithograph,106.0
Collages 1912 - 1955,1955.0,Lithograph,11.0
The Man with the Golden Arm,1955.0,Lithograph,372.0
"G. Braque, Braque Graveur, Berggruen & Cie",1953.0,Lithograph in six colors,744.0
Rountree's Elect Cocoa,1895.0,Lithograph,437.0
"L'Art Nouveau, Grafton Galleries",1898.0,Lithograph,743.0
Radio - Rural Electrification Administration,1937.0,Silkscreen,409.0
"Les milicies, us necessiten!",1936.0,Poster,16.0
"The Black and White Gallery, Louis Meyer",1901.0,Collotype,437.0
Ovod,1931.0,Lithograph,459.0
The Pipe of the Communards,1929.0,Lithograph,459.0
"Gaz Cuit-Chauffe-Glace (Gas, It Cooks, Heats, Cools)",1928.0,Lithograph,512.0
¡Por el Orden Repbulicano! Respetad la Propriedad de los Comerciantes e Industriales,1936.0,Lithograph,572.0
Bosch,1914.0,Lithograph,515.0
Bosch-Licht,1913.0,Lithograph,515.0
Manoli,1910.0,Lithograph,515.0
Film/Festival Congres International Bale,1945.0,Lithograph,856.0
Evacuad Madrid (Evacuate Madrid),1937.0,Lithograph,946.0
Vibo,1981.0,Silkscreen,5.0
Celebration! 200 Years USA/50 Years CCA,1976.0,Offset lithograph,666.0
Dizzy Gillespie & Montmartre Supports the Jazz Exchange,1973.0,Silkscreen,5.0
Gesund und Gut mit Butter (Healthy and good with butter),1951.0,Lithograph,828.0
Laes Politiken,1979.0,Silkscreen,5.0
Post-Modern Typography: Recent American Developments,1978.0,Offset lithograph,666.0
Las Milicias de la Cultura Luchan Contra el Fascismo Combatiendo la Ignorancia,1937.0,Gouache and lithograph,154.0
"Exhibition Poster, Kizashi, December 10, 1975",1975.0,Offset lithograph,254.0
Osai-Gonzu,,Offset lithograph,254.0
"Neues Bauen (New Building) (Poster for Deutsche Werkbund Exhibition at the Kunstgewerbe Museum, Zürich)",1928.0,Photolithograph,314.0
Die Time Shop Mode TS,,Lithograph,864.0
Please Don't Wave Your Torch... (Poster for London Transport),1941.0,LIthograph,482.0
Moderne Kunst,1930.0,Lithograph,301.0
Adult Education Program,1953.0,,86.0
"Bildhauser Zeichen, Institut Francais Innsbruck",1952.0,Lithograph after woodcut,11.0
Romeo and Juliet,1900.0,Poster,355.0
Alpine Kunst Exhibition,1900.0,,509.0
"TB, You May Have It, You May Not Know It",1948.0,Lithograph,560.0
Answer the Call: 1952 Red Cross Fund,1952.0,Poster,560.0
Exhibition in Basel,1900.0,Poster,856.0
Gutes Spielzeug Museum Morsbroich Leverkusen 22 Juli-18 August 1957,1957.0,Lithograph,86.0
"Fly to Europe, Pan American",1900.0,Poster,977.0
Die Versteppung Deutschlands,,Poster,86.0
Ein Jahrhundert bittet um Frieden,1950.0,Photolithograph,86.0
"Galerie Herbert Herrmann, Ausstellung, Juli 1948, Josef Alers, Max Bill, Hans Arp",1948.0,Photolithograph,559.0
"Futurismo Pittura Metafisica, 1950, Kunsthaus, Zurich",1950.0,Lithograph,559.0
"Internationale Musikfestwochen, Luzern",1950.0,Photolithograph,828.0
"New York World's Fair, ""The World of Tomorrow.""",1939.0,Poster,560.0
Frankrig,1937.0,Lithograph,962.0
"Gouaches Totems, Galerie Maeght, Calder",1966.0,Lithograph,922.0
Feierspiele in Münster,1925.0,Lithograph,869.0
"PTT, De Man Achter de Vormgeving van de P.T.T",1960.0,Offset lithograph,747.0
Forster Ausverkauf,1928.0,Linoleum cut,391.0
"The Record Corner in Magazingasse 1, Linz",1961.0,Lithograph,841.0
"Edith Wolf II. Liederabend, 8 Marz",,Poster,399.0
"G. K. Beck, Olbilder, Gouachen, Handzeichnungen",1965.0,Poster,425.0
Beispiel Japan Bau und Gerät,1965.0,Photolithograph,594.0
Kew Gardens (Poster for London Transport),1936.0,Lithograph,395.0
"wie wohnen? Die Wohnung (How Should We Live? The Dwelling) (Poster for exhibition organized by the Deutsche Werkbund at the Weissenhofsiedlung, Stuttgart, Germany)",1927.0,Lithograph,392.0
"Neues Bauen in Frankfurt a.M (New architecture in Frankfurt am Main) (Poster advertising Ernst May lecture at the Bauhaus, Dessau, Germany)",1927.0,Lithograph,399.0
"Ilija Smoljenovic (Poster for Karate Club Tempo, Zagreb)",1976.0,Screenprint,840.0
"General Wade's Bridge, Aberfeldy. Everywhere You Go You Can Be Sure of Shell",1933.0,Lithograph,927.0
Isaac Newton (Poster from The Development of Scientific Thought series),1972.0,Screenprint,840.0
Entrance to Douglas - Isle of Man - Everywhere You Go You Can Be Sure of Shell,1900.0,Poster,358.0
4 4 4 4 4 4 4 4,1971.0,Silkscreen,840.0
Neues Denken Neues Wohnen Neues Bauen,1977.0,Offset lithograph,559.0
"Wer rechnet, Kauft im Globus",1942.0,Lithograph,564.0
Fritz Lang Retrospektive,1983.0,Offset lithograph,825.0
Feba Tinte,1941.0,Lithograph,564.0
4th International Aviation Meeting Zurich,1937.0,Lithograph,391.0
"Luis Bunuel, Filmpodium Zürich",1980.0,Offset lithograph,825.0
USA Baut,1945.0,Offset lithograph,559.0
Bilz Brause,1913.0,Lithograph,687.0
9. Kongres SKH,1982.0,Offset lithograph,755.0
Alfriston - See Britain First on Shell,1931.0,Lithograph,445.0
G. Braque - Galerie Maeght - 13 rue de Téhéran,1947.0,Lithograph,744.0
G. Braque - Galerie Maeght - 13 rue de Téhéran,1956.0,Ltihograph; gouache,744.0
(Exhibition of Cartier-Bresson photographs. Stedelijk Museum.),1963.0,Poster,1000.0
You Can Be Sure of Shell - Artists Prefer Shell,1933.0,Lithograph,226.0
Newlands Corner. Everywhere You Go You Can Be Sure of Shell,1932.0,Lithograph,226.0
Winter Shell,1933.0,Lithograph,89.0
"Everywhere You Go You Can be Sure of Shell Gordale Scar - The Craven Fault, Yorks",1934.0,Lithograph,89.0
Fachkursstipendien,1980.0,Offset lithograph,286.0
Help China's Children,1900.0,,835.0
Geigy Graphics,1967.0,Offset lithography with die cut,141.0
Galerie Maeght - G. Braque,,Poster,744.0
"The Yellow Book, Vol. XI: Sold Here",1896.0,Letterpress and lithography,413.0
"Humanité, Fête de l'Humanité 6 et 7 Septembre 1969 / Vincennes / Exposition de Sculptures",1969.0,Lithograph,922.0
"Calder's Circus, Whitney Museum of American Art April 20-July 11, 1972",1972.0,Lithograph,922.0
ORTF à tous,1968.0,Lithograph,922.0
Exhibition of graphics of Canadian National Railways at the galleries of the Steendrukkerij de Jong & Co.,1963.0,Lithograph,747.0
"Shillingford Bridge, Oxford - See Britain First On Shell",1935.0,Lithograph,63.0
"Castle Howard, Co. Wicklow - Everywhere You Go You Can Be Sure of Shell",1932.0,Lithograph,575.0
Taynton [in the Cotswolds] Oxon - Wherever You Go You Can Be Sure of Shell,1934.0,Lithograph,575.0
Baumann,1922.0,Lithograph,391.0
Section Allemande,1930.0,Lithograph,399.0
IBA,1934.0,Offset lithograph,399.0
Stiller,1908.0,Lithograph,515.0
Zermatt,1908.0,Lithograph,968.0
Zoologischer Garten Basel,1947.0,Lithograph,355.0
"Pevsner, Vantongerloo, Bill, Kunsthaus Zürich",1949.0,Lithograph,559.0
Der Stuhl,1935.0,Lithograph,633.0
After All - There is Nothing Like a Good Book!,1927.0,Lithograph,820.0
Grafa,1933.0,Lithograph,875.0
Bitter Campari,1921.0,Lithograph,962.0
Chocolat Frigor,1929.0,Lithograph,962.0
Greek travel poster,1900.0,Poster,852.0
Scandinavian travel poster,1900.0,Poster,601.0
"Home Furnishings from the U.S., November 1952",1952.0,Lithograph,228.0
"Stuttgart, Germany, January-February 1954",1954.0,Lithograph,392.0
"Bauhausbücher 9, ""Punkt und Linie zu Fläche"" by Vasily Kandinsky. Bauhaus Books, 2nd edition",1928.0,,399.0
Bauhaus GmbH Rechnung,1925.0,Letterpress,399.0
DWB Jahresversammlung,1929.0,Letterpress,399.0
Der neue Adler,1931.0,Letterpress,399.0
H. Berthold Bayer Type,1933.0,Lithograph,399.0
Swoszowice,1900.0,Poster,714.0
Olga Susanna Fischli,1935.0,Letterpress,559.0
Fribourg Suisse - Chocolat de Villars,1905.0,Lithograph,968.0
Schweizerischer Werkbund,1934.0,Letterpress,559.0
Polaire Dans Le P'tit Jeune Homme de Willy & Luvet,1900.0,Lithograph,962.0
Johannes Canis Werbefachmann,1928.0,Letterpress,950.0
Das Wunder des Lebens Ausstellung,1935.0,Gravure,399.0
"Deutschland Ausstellung, 18.Juli bis 16.August 1936",1936.0,Gravure with offset photolithographic cover,399.0
An Exhibition on the Theme of Musical Instruments,1937.0,Letterpress,399.0
Glanzstoff Almanach,1938.0,Letterpress with embossed cover,399.0
Biology of C. S. C,1943.0,Gravure,399.0
The Human Eye-A Living Camera,1939.0,Letterpress,399.0
Exhibition Poster,,,429.0
Chocolat Menier,1893.0,Lithograph,703.0
Fagus Stanzmesser,1923.0,Letterpress,399.0
Exposição da Agricultura Paulista,1951.0,Lithograph,622.0
Donnerstagvorträge im September,1951.0,Lithograph,86.0
"Das neue Reich, Die neue Reichsleitung",1919.0,Lithograph,515.0
Kurs: Wandlungen der Sozialistischen Bewegung-Montags,1949.0,Lithograph,86.0
Jack Boynton: Jack's RETRO-SPECTRUM,1980.0,Offset lithograph,725.0
Bally,,Offset lithograph,828.0
Union,1943.0,Lithograph,856.0
Helen Daxelhofer + Dr. Alfred Schmidt,1933.0,Letterpress,559.0
"Ausstellung Fotos, Binia Bill",,Letterpress,559.0
"""Dämmerung: Notizen in Deutschland"" Heinrich Regius",1930.0,Letterpress,559.0
Het Zwitserse boek,1949.0,Lithograph,856.0
Orion,1926.0,Letterpress,869.0
Essen,1929.0,Letterpress,869.0
Europas grösste industriekonzerne Besitzen Europas höchste Schornsteine,1930.0,Letterpress,869.0
Weinhaus Sievers,1920.0,Letterpress,869.0
Fabriken Fortschritt GmbH,1930.0,Letterpress and offset lithograph,950.0
Fortschritt,,Letterpress,950.0
Marque PKZ,1923.0,Lithograph,391.0
Architektuur L. Mies van der Rohe,,Offset lithograph,747.0
"Che, Grupo Teatro Escambray",1978.0,Offset lithograph,983.0
Karol K. Martyn,1966.0,Silkscreen,32.0
Stand by the Country's Girlhood - The YWCA Acts for You,1918.0,Lithograph,465.0
"Eat More, Eat Less",1917.0,Lithograph,782.0
Poster for Expressionists' Art Exhibition at Der Sturm (Expressionisten Kunstausstellung Der Sturm),1916.0,Lithograph,385.0
Air Corps U.S. Army,1941.0,Tempera,560.0
Japanese Graphic Design - Contemporary,1972.0,,898.0
Lippincott's August,1895.0,Lithograph,986.0
DSB,1975.0,Lithograph,5.0
Spar,1978.0,Offset photolithograph,5.0
Kevi,1977.0,Silkscreen,5.0
Polio Research,1949.0,Offset lithograph,399.0
When I Think Back..REA,1939.0,Lithograph,409.0
Stop 'Em to Sell 'Em,1947.0,Lithograph,977.0
Swissair - South America,1964.0,Photolithograph,563.0
Mouvement 2,1964.0,Silkscreen,599.0
"Richard Bernstein, Galerie Kunsthandel Monet, Rokin 97, Amsterdam",1967.0,Silkscreen,520.0
Österreichs Wiederaufbau Ausstellung Salzburg,1933.0,Lithograph,560.0
München 1972,1972.0,Lithograph,86.0
Lend the Way They Fight,1918.0,Lithograph,25.0
"Sure We'll Finish the Job, Victory Liberty Loan",1918.0,Gouache-lithograph,470.0
Carry On! Buy Liberty Bonds to Your Utmost,1918.0,Lithograph,595.0
He Is Keeping the World Safe for Democracy,1916.0,Lithograph,973.0
June 28th is National War Saving Day,1918.0,Lithograph,33.0
Bestiaire,1963.0,Silkscreen,751.0
The Paris Review,1965.0,Silkscreen,200.0
Group in a Storm (Gruppe im Sturm)(plate 14) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1920.0,"Woodcut from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",335.0
Self Portrait (Selbstbildnis) from Graphics of Capitalist Realism (Grafik des Kapitalistischen Realismus),1971.0,Etching and relief,760.0
Peasants Strolling (Bauerngang) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1920.0,"Woodcut from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",940.0
Lion (Löwe) (plate 28) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1920.0,"Lithograph from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",431.0
Pierrot and Mask (Pierrot und Maske) (plate 30) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1920.0,"Lithograph from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",429.0
Title page (folio 2) from Labyrinth,1959.0,Aquatint and drypoint,303.0
LABYRINTY,1960.0,8 aquatints,303.0
Semina,1988.0,Complete set of periodicals,505.0
"Solfège, preliminary cover design for Petit Solfège Illustré",1891.0,Lithograph with watercolor additions,665.0
"Orpheus before Pluto and Proserpina (Orpheus vor Pluto und Proserpina) from the illustrated book Eurydikes Wiederkehr, Drei Gesänge (The Return of Eurydice, Three Cantos)",1909.0,Lithograph,429.0
Composition with Seven Elements from 23 Gravures,1935.0,Etching,11.0
